cod_proposta,cod_cliente,cod_colaborador,data_entrada_proposta,taxa_juros_mensal,valor_proposta,valor_financiamento,valor_entrada,valor_prestacao,quantidade_parcelas,carencia,status_proposta
5,535,93,2019-12-05,0.0235,69165.18613026793,106962.78,37797.593869732074,2129.954692992463,62,Média,Enviada
802,244,93,2016-12-15,0.0217,126030.01471557816,178749.29,52719.275284421856,3000.059164925632,113,Alta,Enviada
955,694,93,2012-08-25,0.0178,25248.933215392248,31977.76,6728.826784607747,1932.8150334539976,15,Extrema,Enviada
1226,706,93,2011-04-24,0.0196,127090.664850405,240764.57,113673.905149595,5383.981455370705,32,Alta,Enviada
1882,937,93,2012-11-16,0.0148,120882.68620439852,226711.54,105828.85379560148,3698.498422006377,45,Média,Enviada
14,610,94,2019-07-11,0.0218,139410.46639551217,203931.2,64520.733604487854,5028.448670024468,43,Média Alta,Enviada
318,787,94,2011-11-06,0.0165,82631.64773314816,139219.34,56587.69226685184,4197.535025380932,24,Extrema,Enviada
529,989,94,2012-07-21,0.0096,130082.85553845612,201668.56,71585.70446154388,2898.111704118392,59,Muito Alta,Enviada
1546,579,94,2015-11-21,0.0175,5799.397666658253,10184.94,4385.542333341748,1221.4773985625382,5,Muito Baixa,Enviada
1917,351,94,2013-10-16,0.0166,148751.3128913932,241262.01,92510.6971086068,4099.977387854434,56,Extrema,Enviada
845,261,95,2016-02-10,0.0113,111264.39550639396,159029.1,47764.70449360606,1748.4301014790285,113,Extrema,Enviada
1388,651,95,2016-02-12,0.0226,53598.77014230098,67640.63,14041.859857699026,1384.5854801410787,93,Muito Baixa,Enviada
1417,308,95,2014-02-20,0.0135,30035.86555362612,38245.11,8209.24444637388,506.8901459618703,120,Muito Alta,Enviada
1685,429,95,2019-02-28,0.0145,140067.95178052588,185209.06,45141.10821947411,3758.36772194612,54,Média,Enviada
1702,764,95,2022-06-22,0.024,144333.2992711722,201185.56,56852.26072882781,4231.108556897507,72,Muito Alta,Enviada
1742,569,95,2014-07-22,0.0237,87748.6709799775,166304.05,78555.37902002246,2306.5606136099746,99,Baixa,Enviada
1961,162,95,2016-10-24,0.0129,127250.24162584108,173349.14,46098.89837415894,2113.216486082028,117,Extrema,Enviada
113,176,96,2021-12-10,0.0221,124489.83817197604,232380.19,107890.35182802397,4051.1675344007535,52,Extrema,Enviada
221,662,96,2022-11-03,0.0141,19232.112795646528,30765.39,11533.27720435347,366.8276155439737,96,Média Alta,Enviada
268,211,96,2021-11-19,0.0203,106093.33206766828,172061.77,65968.43793233171,2487.0397269446453,100,Alta,Enviada
377,771,96,2020-07-24,0.01,34762.03070821514,65705.6,30943.56929178487,5998.131622256016,6,Muito Baixa,Enviada
724,856,96,2014-03-07,0.013,57382.27531184658,90788.13,33405.85468815342,1448.8909883364774,56,Média Alta,Enviada
849,215,96,2013-11-21,0.019,37589.10449914117,45424.71,7835.605500858832,812.9467061114768,112,Média Alta,Enviada
1039,290,96,2014-06-01,0.0219,97385.13924921432,171930.9,74545.76075078566,2785.0746911668766,67,Baixa,Enviada
1762,411,96,2014-02-04,0.0181,82020.3932199309,158702.58,76682.18678006908,4729.7521572490605,21,Média Alta,Enviada
638,766,97,2013-01-24,0.0232,12020.59744061279,20327.29,8306.692559387211,330.4341813732234,81,Média Alta,Enviada
1019,862,97,2022-01-07,0.009,103602.20997803424,182932.7,79330.49002196577,3095.6910766507463,40,Extrema,Enviada
1024,354,97,2019-06-09,0.0168,42934.827456432846,59069.1,16134.272543567153,2051.7811378299675,26,Alta,Enviada
1482,38,97,2015-02-16,0.0087,8105.081655113839,15004.54,6899.458344886164,144.86580258502366,77,Baixa,Enviada
471,944,98,2012-08-22,0.0163,986.5883212979132,1859.96,873.3716787020867,19.16476085364461,113,Média Alta,Enviada
1266,422,98,2019-03-15,0.0123,83621.20539531513,157453.14,73831.93460468487,1436.2869213504575,103,Muito Baixa,Enviada
1942,628,98,2011-01-14,0.0142,129951.85297393677,154763.42,24811.567026063258,5657.224708791595,28,Alta,Enviada
1955,688,98,2011-03-17,0.0175,115367.76577679,219963.56,104595.79422321,3357.770159518584,53,Média,Enviada
288,684,99,2010-06-03,0.0211,154699.66658385398,216491.47,61791.80341614603,5157.04578749289,48,Muito Alta,Enviada
450,936,99,2010-04-13,0.0219,62883.73721124956,109115.39,46231.65278875044,2591.0515123941377,35,Baixa,Enviada
458,492,99,2022-07-18,0.0115,21600.009279381964,40310.37,18710.36072061804,753.147166433037,35,Muito Baixa,Enviada
682,397,99,2010-03-26,0.0175,154850.5645719384,187560.9,32710.335428061597,3445.5827348851326,89,Muito Alta,Enviada
917,366,99,2012-07-13,0.0161,54342.752774220986,97311.34,42968.58722577901,1379.1224375940674,63,Alta,Enviada
1115,380,99,2017-10-05,0.0166,94737.12512582073,182392.49,87655.36487417926,2611.2043198556207,56,Média,Enviada
1607,130,99,2020-08-29,0.023,14037.562240495752,19633.56,5595.997759504249,1007.005944555959,17,Muito Baixa,Enviada
1664,805,99,2015-11-24,0.0206,148664.910491263,209612.6,60947.689508737,5245.012242433823,43,Extrema,Enviada
1688,889,99,2014-05-16,0.0233,101556.80947492617,162054.91,60498.100525073845,2836.816621716204,78,Média,Enviada
1724,673,99,2012-05-15,0.0185,62123.71634705348,119646.36,57522.64365294652,1613.054656592531,68,Muito Baixa,Enviada
1765,17,99,2016-06-12,0.0143,66588.8665357882,119811.49,53222.6234642118,5282.14873648227,14,Muito Baixa,Enviada
151,579,100,2012-05-10,0.0084,34995.300922457376,59994.2,24998.89907754262,1079.5453550536313,38,Muito Baixa,Enviada
561,48,100,2019-08-11,0.0223,51135.34866662276,82532.59,31397.241333377235,1265.1784385495775,105,Muito Baixa,Enviada
750,708,100,2010-12-01,0.018,2620.727730615836,3465.5,844.7722693841644,67.64340521470304,67,Extrema,Enviada
967,757,100,2018-05-20,0.0167,147484.4749840328,188587.3,41102.825015967166,3396.122899179653,78,Muito Alta,Enviada
1053,852,100,2014-03-12,0.0149,35324.85071525695,53339.03,18014.17928474305,2497.7507121535823,16,Alta,Enviada
1204,553,100,2018-01-02,0.0211,11807.622370264213,15875.49,4067.8676297357856,296.3203078114895,88,Média Alta,Enviada
1371,237,100,2012-06-09,0.0212,69396.05933247115,138626.51,69230.45066752886,1649.7058469000267,106,Muito Baixa,Enviada
1776,22,100,2014-07-17,0.0214,83846.89778794664,124477.48,40630.58221205336,2537.390250214513,58,Muito Alta,Enviada
3,215,1,2018-04-08,0.0238,154691.55997784564,214508.76,59817.20002215437,6687.29322954869,34,Alta,Aprovada
372,193,1,2010-03-04,0.0103,128429.4335347538,248837.17,120407.7364652462,2846.0983805786705,61,Média Alta,Aprovada
669,82,1,2010-11-21,0.0196,148806.31204116205,234174.16,85367.84795883797,3383.878602800812,102,Média Alta,Aprovada
1837,341,1,2015-03-07,0.0138,161162.28853675356,228485.39,67323.10146324644,3701.8322818770625,67,Extrema,Aprovada
214,502,2,2012-09-25,0.0097,76659.01040063774,133066.12,56407.10959936224,2188.8443187785288,43,Extrema,Aprovada
596,266,2,2022-07-05,0.0242,131492.08202076913,206480.64,74988.55797923087,45969.00687528125,3,Muito Alta,Aprovada
1021,790,2,2010-03-29,0.0093,83080.82987560637,140314.25,57233.42012439362,7980.750205183627,11,Alta,Aprovada
1156,669,2,2022-11-03,0.0201,7234.210566736982,10905.53,3671.319433263017,210.45660765652505,59,Extrema,Aprovada
1735,725,2,2016-11-21,0.0088,86125.75693811815,143359.53,57233.77306188184,1323.7901203606818,97,Média Alta,Aprovada
337,566,3,2022-12-18,0.008,69848.70972380589,127319.85,57471.14027619411,2628.1066967619413,30,Alta,Aprovada
563,435,3,2014-12-29,0.0183,98018.24267313912,163214.64,65196.39732686089,3602.025840891869,38,Muito Alta,Aprovada
938,154,3,2014-02-18,0.0242,188729.36710941917,242187.95,53458.582890580874,6137.941816577401,57,Muito Baixa,Aprovada
1499,986,3,2011-11-23,0.009,9742.681140817327,14569.05,4826.368859182673,134.36328731012185,118,Extrema,Aprovada
1500,673,3,2017-07-25,0.0237,153458.10971704873,186909.25,33451.14028295127,4167.440223469516,88,Baixa,Aprovada
1804,659,3,2012-12-17,0.0143,110462.59423689556,187926.74,77464.14576310443,3645.433708616733,40,Média Alta,Aprovada
152,569,4,2015-09-03,0.01,102555.07807221344,151511.08,48956.00192778654,5683.121944996784,20,Média,Aprovada
785,644,5,2021-01-05,0.0111,100312.22808239116,142248.96,41936.731917608806,1768.191331409978,90,Extrema,Aprovada
1185,535,5,2017-08-01,0.0225,121875.11524958428,145161.31,23286.19475041572,16816.891229552653,8,Muito Alta,Aprovada
1391,740,5,2021-01-28,0.0193,10855.041673558988,17090.85,6235.808326441011,255.17491020883364,90,Média Alta,Aprovada
1908,380,5,2012-11-13,0.0239,2709.301201126267,3343.0,633.6987988737327,96.57753048694387,47,Alta,Aprovada
614,826,6,2010-08-27,0.0121,44364.976860441246,53280.04,8915.06313955875,811.8323016430977,90,Extrema,Aprovada
1386,897,6,2018-08-22,0.0088,47721.432702735416,63892.83,16171.397297264586,2738.486797639204,19,Muito Baixa,Aprovada
1958,643,6,2015-12-28,0.0091,158198.86634467123,190935.6,32736.73365532876,2975.5197486341804,73,Baixa,Aprovada
13,112,7,2021-08-21,0.0217,944.0064028470864,1652.35,708.3435971529134,22.336330108121395,116,Extrema,Aprovada
899,186,7,2018-07-07,0.0151,81940.14856646374,127497.71,45557.56143353624,2230.0350094273167,54,Alta,Aprovada
1069,304,7,2022-01-22,0.0164,101745.76610940573,142646.6,40900.83389059429,2052.978762700672,103,Extrema,Aprovada
1800,382,7,2021-08-23,0.0153,79373.66703533065,138677.79,59304.12296466936,27271.598007788634,3,Alta,Aprovada
265,481,8,2019-09-24,0.0127,2721.3666750868338,3718.44,997.0733249131661,52.191149356467214,86,Alta,Aprovada
666,626,8,2013-04-16,0.0081,16701.128843690913,21132.31,4431.181156309089,452.73910558688345,44,Alta,Aprovada
101,827,9,2015-12-29,0.0179,23780.2846630219,38218.77,14438.485336978096,516.4304740928044,98,Média Alta,Aprovada
746,92,9,2011-12-01,0.0246,75780.23593327559,108197.34,32417.10406672441,2053.9824740805398,98,Alta,Aprovada
1705,585,9,2020-04-30,0.0245,104978.21709504664,157068.88,52090.66290495336,2843.755294637592,97,Muito Baixa,Aprovada
164,59,10,2015-08-04,0.0213,71884.50751990633,123637.15,51752.64248009366,2299.7535713662983,52,Extrema,Aprovada
379,797,10,2022-05-16,0.0186,30567.294715008917,57420.05,26852.75528499109,702.2634377677738,90,Média,Aprovada
417,126,10,2020-04-25,0.0249,133251.20467383575,192758.12,59506.91532616424,3889.0171734892624,78,Muito Baixa,Aprovada
453,586,10,2013-09-17,0.0129,77458.86418069516,146368.08,68909.21581930481,2000.444105743336,54,Baixa,Aprovada
479,160,10,2012-04-03,0.0115,106241.69184420528,129159.36,22917.66815579471,2070.4050446967376,78,Alta,Aprovada
542,344,10,2019-01-18,0.0197,64202.22200963337,118357.5,54155.27799036663,1817.7828834697232,61,Muito Baixa,Aprovada
585,433,10,2012-05-30,0.0161,43340.19117429093,68132.12,24791.928825709063,871.4144325397906,101,Média Alta,Aprovada
1485,534,10,2012-06-16,0.0193,23033.62008847057,34129.87,11096.249911529432,781.599583733202,44,Muito Baixa,Aprovada
1496,844,10,2011-09-29,0.0102,83829.24846296011,150136.05,66306.80153703988,1247.270597552637,114,Muito Baixa,Aprovada
1529,64,10,2015-08-24,0.0172,125748.1304088156,228795.46,103047.3295911844,2756.9687373264405,90,Alta,Aprovada
1567,322,10,2018-06-16,0.0099,99162.60834119917,123829.91,24667.30165880083,5489.595914900417,20,Baixa,Aprovada
1629,989,10,2015-07-04,0.0111,93795.2868089558,147038.79,53243.5031910442,1517.1813346016345,105,Muito Alta,Aprovada
558,304,11,2012-08-09,0.0093,50138.22657262008,64454.53,14316.303427379922,2639.31123217336,21,Extrema,Aprovada
1007,477,11,2019-06-28,0.0195,21308.408430384927,38455.19,17146.781569615076,715.5990368131166,45,Muito Baixa,Aprovada
1348,166,11,2011-06-30,0.0085,187368.8646020913,247972.7,60603.8353979087,7795.660954878906,27,Média Alta,Aprovada
1698,974,11,2010-07-02,0.0134,102374.26021761936,181186.45,78812.18978238065,1830.276950189786,104,Muito Baixa,Aprovada
401,381,12,2018-09-18,0.0209,153936.0669859827,220403.96,66467.8930140173,14636.707558642982,12,Muito Alta,Aprovada
364,124,13,2018-01-16,0.0089,118005.00803855035,140398.05,22393.041961449628,3137.4213465488465,46,Muito Alta,Aprovada
680,305,13,2010-05-13,0.0142,125941.00075235598,152157.33,26216.32924764401,32610.856166414847,4,Média,Aprovada
1109,868,13,2013-09-06,0.0232,82474.20691773736,104582.66,22108.453082262648,4384.718382886576,25,Média Alta,Aprovada
1176,185,13,2012-05-22,0.0225,45004.701262414375,87601.63,42596.92873758562,1212.5842649623994,81,Extrema,Aprovada
1323,250,13,2022-06-27,0.0208,35073.07847448888,61732.16,26659.08152551112,886.8602003676782,84,Muito Alta,Aprovada
1338,89,13,2016-05-26,0.0168,1544.231778800641,2686.85,1142.618221199359,42.31312229055154,57,Média,Aprovada
148,977,14,2016-05-03,0.0185,21409.033170274648,33942.43,12533.396829725349,509.3658584013588,82,Média Alta,Aprovada
390,731,14,2016-08-13,0.0221,44905.60347139065,82678.99,37773.38652860936,1585.1640991277789,45,Extrema,Aprovada
597,278,14,2014-02-13,0.0155,153339.02045807574,184273.02,30933.999541924244,6114.357662180666,32,Alta,Aprovada
1033,317,14,2020-11-11,0.0125,95334.48985127843,131387.49,36053.000148721534,1620.6433344843583,107,Muito Baixa,Aprovada
1855,326,14,2021-12-17,0.0246,77958.76982439395,132052.36,54093.59017560602,2386.1130187031386,67,Muito Baixa,Aprovada
1962,325,14,2013-12-21,0.0231,96168.12509828445,181788.59,85620.46490171555,49756.5166086992,2,Média Alta,Aprovada
1977,795,14,2016-01-23,0.0246,149018.70538086144,238371.53,89352.82461913854,7826.38393731372,26,Alta,Aprovada
477,42,15,2013-12-23,0.0242,127838.92769074797,186532.25,58693.32230925204,9261.928468139415,17,Extrema,Aprovada
879,940,15,2013-05-13,0.0216,31742.211609040784,55718.26,23976.048390959215,789.275935893018,95,Média Alta,Aprovada
1308,390,15,2021-03-15,0.0097,38900.41623477661,57310.9,18410.483765223387,1070.9231853345404,45,Alta,Aprovada
1568,775,15,2011-09-11,0.0204,142948.13652131768,237373.46,94425.32347868232,3247.66219338842,113,Muito Baixa,Aprovada
376,772,16,2016-02-23,0.0081,132611.89519461826,249769.01,117157.11480538176,3184.5535865489883,51,Muito Baixa,Aprovada
924,84,16,2017-12-21,0.0097,102240.18850092852,160986.94,58746.751499071484,1565.312458175614,104,Baixa,Aprovada
948,283,16,2021-08-30,0.0204,16374.676977565316,25075.1,8700.423022434681,567.3721333820909,44,Média Alta,Aprovada
962,72,16,2020-10-10,0.0185,1649.3671825601546,2180.78,531.4128174398455,42.212958780013444,70,Baixa,Aprovada
1135,658,16,2019-01-17,0.0108,53655.20194097059,84533.02,30877.81805902941,27262.986197359565,2,Alta,Aprovada
422,767,17,2011-05-13,0.0177,108673.56503523572,192219.73,83546.16496476429,5417.1466314786,25,Média,Aprovada
1290,701,17,2020-02-25,0.0092,42093.6604757478,65760.97,23667.309524252203,670.936377590508,94,Extrema,Aprovada
1912,740,17,2016-05-26,0.0159,161208.87978153012,217634.61,56425.73021846987,7865.116636754,25,Muito Baixa,Aprovada
1923,283,17,2015-12-08,0.0122,90461.3218131765,123554.84,33093.518186823494,3833.4100553241233,28,Alta,Aprovada
56,692,18,2019-12-27,0.0126,37945.86449224383,64943.69,26997.825507756177,2792.166164137032,15,Média Alta,Aprovada
476,255,18,2022-06-18,0.0228,54108.81367614541,73240.14,19131.326323854595,2635.7132462021327,28,Baixa,Aprovada
503,445,18,2014-02-09,0.0197,22005.790852732345,37966.99,15961.199147267656,3000.1232736752936,8,Muito Baixa,Aprovada
608,765,18,2015-03-23,0.0212,37628.03170249151,45367.34,7739.308297508484,1362.0536538069714,42,Muito Baixa,Aprovada
793,677,18,2021-07-02,0.0088,182648.9859327874,227647.2,44998.2140672126,5326.093511562308,41,Muito Baixa,Aprovada
900,29,18,2011-10-18,0.0201,32170.918952929864,62254.76,30083.841047070135,2371.269547702272,16,Alta,Aprovada
1098,456,18,2013-05-25,0.0227,73201.5356648386,95229.01,22027.47433516139,1782.2262197503385,120,Extrema,Aprovada
1187,86,18,2020-12-17,0.0205,127345.89542178634,162276.53,34930.63457821366,3399.1485958378257,72,Baixa,Aprovada
1565,954,18,2016-05-29,0.0154,130883.38462236666,173686.83,42803.44537763332,4184.572879252155,43,Baixa,Aprovada
1651,701,18,2012-11-28,0.0178,146684.83646635892,186257.79,39572.95353364108,3414.536930286291,82,Muito Baixa,Aprovada
36,417,19,2014-11-23,0.0109,28777.160701125245,35598.9,6821.739298874757,584.2764164086685,71,Alta,Aprovada
1200,496,19,2015-08-15,0.0189,10287.984431441982,13308.56,3020.5755685580166,224.1082287389289,108,Baixa,Aprovada
1328,483,19,2019-05-26,0.0156,25382.645194395784,47916.56,22533.91480560421,1125.8177457585064,28,Média,Aprovada
345,17,20,2022-11-06,0.0115,60101.06496388089,71835.44,11734.375036119112,2003.551691884904,37,Extrema,Aprovada
485,338,20,2021-03-30,0.0246,142181.29488527964,213555.4,71374.10511472035,4019.5953118444754,84,Baixa,Aprovada
718,8,20,2015-08-31,0.0198,2441.8520736264386,4169.5,1727.6479263735614,53.772477097768125,117,Muito Alta,Aprovada
969,249,20,2022-11-19,0.0178,58196.3758356138,78917.69,20721.3141643862,1686.249252369969,54,Alta,Aprovada
1059,664,20,2015-02-13,0.013,130742.02172765438,241005.07,110263.04827234562,7465.871642383092,20,Baixa,Aprovada
1165,762,20,2021-09-05,0.0229,91244.25439894632,174521.3,83277.04560105366,2769.9799968003663,62,Média,Aprovada
1366,873,20,2015-12-20,0.0151,70207.37230526455,86108.79,15901.417694735444,1359.30670312003,101,Muito Baixa,Aprovada
140,383,21,2014-09-26,0.0159,124861.40738149652,189588.52,64727.11261850347,2394.4634260245693,112,Baixa,Aprovada
867,467,21,2013-11-13,0.01,79939.93656353759,159313.51,79373.57343646242,2386.2889006045625,41,Média Alta,Aprovada
1158,985,21,2022-02-28,0.0189,82772.4171460853,128290.86,45518.44285391471,3322.0527920732025,34,Alta,Aprovada
1265,16,21,2022-01-29,0.0222,74746.44837648878,114570.17,39823.72162351121,2024.57515484576,78,Baixa,Aprovada
1456,937,21,2013-05-14,0.0206,22199.41677063236,38132.46,15933.043229367644,542.0694861774982,91,Média,Aprovada
1720,418,21,2011-02-01,0.0083,145031.99172523193,234466.3,89434.30827476803,8707.527029628622,18,Baixa,Aprovada
1819,930,21,2011-01-25,0.0152,63930.414150485856,76288.84,12358.425849514137,1337.1083773049345,86,Baixa,Aprovada
1886,422,21,2019-08-27,0.0164,151729.73415940785,234388.14,82658.40584059215,3162.782184990901,95,Alta,Aprovada
207,799,22,2022-03-21,0.0112,161775.66505530674,206714.34,44938.67494469326,3199.6936796374357,75,Média,Aprovada
404,47,22,2018-10-13,0.0113,128596.0738303352,246726.47,118130.3961696648,2431.850882592608,81,Muito Alta,Aprovada
441,831,22,2012-03-06,0.0128,41662.13731514218,49729.71,8067.572684857821,967.398197687072,63,Baixa,Aprovada
1175,230,22,2015-05-01,0.0207,26189.271284222494,41339.86,15150.588715777503,600.180564289632,114,Muito Baixa,Aprovada
1693,171,22,2022-06-09,0.0172,137832.3194740092,200827.95,62995.6305259908,3895.5318454253193,55,Média,Aprovada
1900,111,22,2019-10-30,0.0153,21407.752752725373,39079.51,17671.75724727463,404.9078085210174,109,Baixa,Aprovada
1960,789,22,2020-02-27,0.0141,94618.13616346646,139340.0,44721.863836533536,1711.3535150721682,108,Muito Alta,Aprovada
103,545,23,2020-10-12,0.0241,59138.71692625228,87311.69,28172.97307374772,2141.253251296072,46,Alta,Aprovada
212,284,23,2010-04-05,0.014,41714.960353079914,71742.4,30027.439646920087,7297.112042147983,6,Média,Aprovada
394,228,23,2022-01-29,0.0214,136501.84378922448,215503.84,79001.9962107755,6708.514594933817,27,Alta,Aprovada
492,934,23,2013-07-20,0.0195,50523.56132970261,94411.57,43888.00867029739,1590.9688631050417,50,Muito Baixa,Aprovada
644,262,23,2014-05-30,0.0187,4841.478867763136,6072.16,1230.6811322368635,197.93113917251688,33,Extrema,Aprovada
646,865,23,2019-05-28,0.0216,56963.55808589181,79022.68,22059.121914108186,1407.5072737262508,97,Média Alta,Aprovada
1117,163,23,2022-05-31,0.0095,122068.5116561508,186353.63,64285.118343849215,18107.281509139364,7,Extrema,Aprovada
1346,564,23,2019-10-16,0.0185,1338.9522902103076,2252.54,913.5877097896924,35.02765103062643,67,Extrema,Aprovada
1359,178,23,2020-04-09,0.0227,93336.67008093833,172384.14,79047.4699190617,2742.027826979318,66,Baixa,Aprovada
1813,607,23,2010-06-11,0.0155,176121.08427607355,249974.5,73853.41572392643,3554.326557237865,95,Extrema,Aprovada
232,31,24,2016-07-12,0.0206,6717.593676867396,10247.01,3529.4163231326047,216.48057865532064,50,Extrema,Aprovada
410,235,24,2010-11-23,0.0174,105045.02782503924,195552.16,90507.13217496077,18589.03589816401,6,Muito Baixa,Aprovada
539,66,24,2016-09-05,0.0192,119049.78252772024,165184.97,46135.187472279766,2661.011236428872,103,Média Alta,Aprovada
844,103,24,2021-03-25,0.0244,83759.76629848238,112593.5,28833.73370151763,2245.2537994874765,100,Média Alta,Aprovada
869,742,24,2010-09-09,0.0116,115173.42341678232,156347.13,41173.706583217696,2327.2986662033627,74,Extrema,Aprovada
1057,345,24,2018-12-02,0.0121,89573.81771175607,133208.94,43635.12228824394,1629.1282824091609,91,Extrema,Aprovada
1089,539,24,2022-12-15,0.0234,188744.62859850383,235327.59,46582.961401496126,5980.018991105753,58,Muito Alta,Aprovada
1296,76,24,2019-10-18,0.0113,128762.55924206832,212397.11,83634.55075793166,8367.638824334077,17,Extrema,Aprovada
1505,8,24,2010-04-12,0.0219,67263.71795856181,114766.43,47502.71204143817,1865.0818154569804,72,Média Alta,Aprovada
799,618,25,2018-08-23,0.0179,2906.218693552694,3695.82,789.6013064473062,62.64793963578294,100,Extrema,Aprovada
1365,710,25,2020-04-04,0.0115,37744.22177494886,69065.94,31321.718225051143,713.3946929114029,82,Muito Alta,Aprovada
1812,507,25,2022-04-13,0.0243,142957.9946859315,169267.55,26309.55531406848,9483.700318204861,19,Alta,Aprovada
1852,129,25,2012-01-25,0.0214,50533.37423205089,59810.97,9277.595767949111,1295.6193415298542,85,Média Alta,Aprovada
1916,649,25,2017-08-01,0.017,185615.91238472823,239372.09,53756.177615271765,39037.73901806336,5,Média,Aprovada
1999,172,25,2018-09-23,0.0218,175384.0493516828,231785.51,56401.46064831722,8026.026079681918,30,Baixa,Aprovada
551,430,26,2013-07-10,0.0106,58362.56383446632,81052.49,22689.92616553369,1023.2048340941446,88,Extrema,Aprovada
1626,513,26,2014-06-09,0.0086,137529.13444343585,214897.57,77368.43555656416,8730.404665935379,17,Média,Aprovada
29,538,27,2017-08-15,0.024,171981.10329957708,246294.43,74313.32670042291,4520.450213517211,103,Alta,Aprovada
229,84,27,2015-08-30,0.0237,118458.2381959615,228609.83,110151.59180403849,3427.4138811072053,73,Média,Aprovada
796,130,27,2013-11-22,0.0245,47842.7632074382,72629.65,24786.8867925618,1498.2277053826222,63,Extrema,Aprovada
866,755,27,2018-01-10,0.0118,60983.75704905331,73423.36,12439.602950946692,61703.36538223197,1,Muito Baixa,Aprovada
1609,462,27,2014-03-22,0.0132,127976.6988720395,199943.62,71966.9211279605,2185.990984085672,113,Alta,Aprovada
1633,777,27,2020-10-19,0.0148,114343.1460714719,184175.48,69832.33392852811,3675.1624257787166,42,Baixa,Aprovada
1014,892,28,2013-06-01,0.0186,70984.25966849062,128636.52,57652.2603315094,1809.2189176532452,71,Extrema,Aprovada
1027,531,28,2016-12-17,0.0165,88808.1349467199,155708.91,66900.77505328009,2165.37585097522,69,Extrema,Aprovada
1465,528,28,2020-08-01,0.0147,74060.9529910352,133815.42,59754.467008964806,2462.1069234080096,40,Média,Aprovada
1632,353,28,2014-04-11,0.0163,55065.81023560722,82963.36,27897.54976439278,3393.4856033191145,19,Muito Alta,Aprovada
244,897,29,2010-05-06,0.0193,166882.99890106142,215072.28,48189.28109893859,3779.629548543112,100,Baixa,Aprovada
415,809,29,2013-10-05,0.0147,14248.81514169492,25973.56,11724.744858305085,399.038083856728,51,Alta,Aprovada
661,322,29,2016-06-07,0.0197,27437.228354581734,41036.39,13599.161645418264,951.9453019660392,43,Extrema,Aprovada
1490,343,29,2019-04-15,0.0128,64058.77693695002,81232.93,17174.15306304997,1536.0856490840804,60,Média,Aprovada
1844,194,29,2022-07-31,0.0183,33538.98334112631,62563.05,29024.066658873693,1005.277313459853,52,Média Alta,Aprovada
344,321,30,2016-01-08,0.0084,106031.55394229112,131782.86,25751.306057708854,1613.4320915938565,96,Média,Aprovada
717,745,30,2019-08-31,0.0205,160500.60346414946,205409.47,44908.86653585053,4942.338168310616,54,Média Alta,Aprovada
1395,113,30,2012-08-21,0.0105,174234.15388888418,219599.1,45364.94611111584,3204.515311042343,81,Muito Alta,Aprovada
1525,38,30,2010-05-11,0.0238,82323.93342418312,159786.54,77462.6065758169,2250.0276405102773,87,Baixa,Aprovada
517,214,31,2016-12-16,0.0118,111572.82425443488,153338.99,41766.165745565115,1756.6113544908287,118,Muito Baixa,Aprovada
571,91,31,2013-03-12,0.0212,166245.3419900164,234298.09,68052.74800998361,4067.2278399046913,96,Alta,Aprovada
632,27,31,2018-03-08,0.0231,51916.82094552588,97820.47,45903.649054474125,1292.8093878560858,115,Baixa,Aprovada
1947,25,31,2019-10-13,0.0155,38412.70106901765,57038.14,18625.438930982345,925.7028514801884,67,Média,Aprovada
127,543,32,2010-03-30,0.0237,105249.31746744008,190305.51,85056.19253255993,107743.72629141816,1,Baixa,Aprovada
241,622,32,2020-05-29,0.0249,138378.4523930959,210778.11,72399.65760690406,4730.20155533099,53,Muito Baixa,Aprovada
532,233,32,2010-06-19,0.0201,82398.30727182134,162916.81,80518.50272817865,1957.7403446603576,94,Média Alta,Aprovada
807,198,32,2019-08-12,0.0211,122758.1401102288,144641.6,21883.4598897712,7032.485094030287,22,Média Alta,Aprovada
1307,456,32,2010-04-17,0.022,40720.82753888285,55404.42,14683.592461117154,981.6522926197608,112,Alta,Aprovada
1704,469,32,2019-12-28,0.0107,88559.03491666532,126308.79,37749.75508333468,4203.605517995621,24,Extrema,Aprovada
1801,245,32,2014-08-15,0.0106,113789.99089032556,164380.18,50590.18910967442,2116.786099958732,80,Baixa,Aprovada
330,621,33,2017-11-10,0.0164,11082.097743858196,16645.08,5562.982256141806,297.5883531514121,58,Alta,Aprovada
367,119,33,2018-05-20,0.0159,146630.94054046203,184393.24,37762.299459537935,3635.272817945176,65,Média,Aprovada
611,483,33,2016-07-30,0.0119,137328.7236164186,179932.71,42603.986383581374,2381.19433551641,98,Média Alta,Aprovada
630,507,33,2018-09-14,0.0173,117524.96272358116,153134.66,35609.69727641884,2389.138772526026,111,Média,Aprovada
1273,879,33,2017-10-18,0.0162,46211.82930840032,73390.74,27178.910691599685,905.7717200577256,109,Alta,Aprovada
1761,754,33,2019-06-28,0.0184,99966.56899628525,196939.35,96972.78100371476,5566.624950026929,22,Extrema,Aprovada
30,597,34,2015-06-12,0.0198,6994.271001299489,12559.56,5565.28899870051,660.563356722303,12,Muito Baixa,Aprovada
652,820,34,2017-10-21,0.018,134896.61086370656,235065.04,100168.42913629345,3213.104060747298,79,Baixa,Aprovada
910,674,34,2022-04-23,0.0236,15301.504985701948,19535.75,4234.245014298052,4053.705325967961,4,Média Alta,Aprovada
